song,model,jaccard_shuffled,jaccard_mismatched
the bangles - eternal flame,melody_concat,0.136,0.15
the bangles - eternal flame,melody_hiddeninit,0.202,0.157
billy joel - honesty,melody_concat,0.125,0.124
billy joel - honesty,melody_hiddeninit,0.15,0.115
cardigans - lovefool,melody_concat,0.155,0.165
cardigans - lovefool,melody_hiddeninit,0.138,0.148
aqua - barbie girl,melody_concat,0.162,0.15
aqua - barbie girl,melody_hiddeninit,0.103,0.14
blink 182 - all the small things,melody_concat,0.192,0.126
blink 182 - all the small things,melody_hiddeninit,0.156,0.172
